id,name,type,power,accuracy,pp,damage_class,effect
1,pound,normal,40,100,35,physical,"Inflicts regular damage."
2,karate-chop,fighting,50,100,25,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
3,double-slap,normal,15,85,10,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
4,comet-punch,normal,18,85,15,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
5,mega-punch,normal,80,85,20,physical,"Inflicts regular damage."
6,pay-day,normal,40,100,20,physical,"Inflicts regular damage. After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
7,fire-punch,fire,75,100,15,physical,"Inflicts regular damage. Has a 10% chance to burn the target."
8,ice-punch,ice,75,100,15,physical,"Inflicts regular damage. Has a 10% chance to freeze the target."
9,thunder-punch,electric,75,100,15,physical,"Inflicts regular damage. Has a 10% chance to paralyze the target."
10,scratch,normal,40,100,35,physical,"Inflicts regular damage."
11,vice-grip,normal,55,100,30,physical,"Inflicts regular damage."
12,guillotine,normal,,30,5,physical,"Inflicts damage equal to the target's max HP. Ignores accuracy and evasion modifiers. This move's accuracy is 30% plus 1% for each level the user is higher than the target. If the user is a lower level than the target, this move will fail. Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting. The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target. However, they will not give this move a chance to break through detect or protect."
13,razor-wind,normal,80,100,10,special,"Inflicts regular damage. User's critical hit rate is one level higher when using this move. User charges for one turn before attacking. This move cannot be selected by sleep talk."
14,swords-dance,normal,,,20,status,"Raises the user's Attack by two stages."
15,cut,normal,50,95,30,physical,"Inflicts regular damage."
16,gust,flying,40,100,35,special,"Inflicts regular damage. If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
17,wing-attack,flying,60,100,35,physical,"Inflicts regular damage."
18,whirlwind,normal,,,20,status,"Switches the target out for another of its trainer's Pokémon selected at random. Wild battles end immediately. Doesn't affect Pokémon with suction cups or under the effect of ingrain."
19,fly,flying,90,95,15,physical,"Inflicts regular damage. User flies high into the air for one turn, becoming immune to attack, and hits on the second turn. During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally. gust and twister also have double power against the user. The damage from hail and sandstorm still applies during the immune turn. The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard. This move cannot be used while gravity is in effect. This move cannot be selected by sleep talk."
20,bind,normal,15,85,20,physical,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect."
21,slam,normal,80,75,20,physical,"Inflicts regular damage."
22,vine-whip,grass,45,100,25,physical,"Inflicts regular damage."
23,stomp,normal,65,100,20,physical,"Inflicts regular damage. Has a 30% chance to make the target flinch. Power is doubled against Pokémon that have used minimize since entering the field."
24,double-kick,fighting,30,100,30,physical,"Inflicts regular damage. Hits twice in one turn."
25,mega-kick,normal,120,75,5,physical,"Inflicts regular damage."
26,jump-kick,fighting,100,95,10,physical,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down. This move cannot be used while gravity is in effect."
27,rolling-kick,fighting,60,85,15,physical,"Inflicts regular damage. Has a 30% chance to make the target flinch."
28,sand-attack,ground,,100,15,status,"Lowers the target's accuracy by one stage."
29,headbutt,normal,70,100,15,physical,"Inflicts regular damage. Has a 30% chance to make the target flinch."
30,horn-attack,normal,65,100,25,physical,"Inflicts regular damage."
31,fury-attack,normal,15,85,20,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
32,horn-drill,normal,,30,5,physical,"Inflicts damage equal to the target's max HP. Ignores accuracy and evasion modifiers. This move's accuracy is 30% plus 1% for each level the user is higher than the target. If the user is a lower level than the target, this move will fail. Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting. The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target. However, they will not give this move a chance to break through detect or protect."
33,tackle,normal,40,100,35,physical,"Inflicts regular damage."
34,body-slam,normal,85,100,15,physical,"Inflicts regular damage. Has a 30% chance to paralyze the target."
35,wrap,normal,15,90,20,physical,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect."
36,take-down,normal,90,85,20,physical,"Inflicts regular damage. User takes 1/4 the damage it inflicts in recoil."
37,thrash,normal,120,100,10,physical,"Inflicts regular damage. User is forced to attack with this move for 2–3 turns,selected at random. After the last hit, the user becomes confused. safeguard does not protect against the confusion from this move."
38,double-edge,normal,120,100,15,physical,"Inflicts regular damage. User takes 1/3 the damage it inflicts in recoil."
39,tail-whip,normal,,100,30,status,"Lowers the target's Defense by one stage."
40,poison-sting,poison,15,100,35,physical,"Inflicts regular damage. Has a 30% chance to poison the target."
41,twineedle,bug,25,100,20,physical,"Inflicts regular damage. Hits twice in the same turn. Has a 20% chance to poison the target."
42,pin-missile,bug,25,95,20,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
43,leer,normal,,100,30,status,"Lowers the target's Defense by one stage."
44,bite,dark,60,100,25,physical,"Inflicts regular damage. Has a 30% chance to make the target flinch."
45,growl,normal,,100,40,status,"Lowers the target's Attack by one stage."
46,roar,normal,,,20,status,"Switches the target out for another of its trainer's Pokémon selected at random. Wild battles end immediately. Doesn't affect Pokémon with suction cups or under the effect of ingrain."
47,sing,normal,,55,15,status,"Puts the target to sleep."
48,supersonic,normal,,55,20,status,"Confuses the target."
49,sonic-boom,normal,,90,20,special,"Inflicts exactly 20 damage."
50,disable,normal,,100,20,status,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field. If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
51,acid,poison,40,100,30,special,"Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage."
52,ember,fire,40,100,25,special,"Inflicts regular damage. Has a 10% chance to burn the target."
53,flamethrower,fire,90,100,15,special,"Inflicts regular damage. Has a 10% chance to burn the target."
54,mist,ice,,,30,status,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns. guard swap, heart swap, and power swap may still be used. defog used by an opponent will end this effect."
55,water-gun,water,40,100,25,special,"Inflicts regular damage."
56,hydro-pump,water,110,80,5,special,"Inflicts regular damage."
57,surf,water,90,100,15,special,"Inflicts regular damage. If the target is in the first turn of dive, this move will hit with double power."
58,ice-beam,ice,90,100,10,special,"Inflicts regular damage. Has a 10% chance to freeze the target."
59,blizzard,ice,110,70,5,special,"Inflicts regular damage. Has a 10% chance to freeze the target. During hail, this move has 100% accuracy. It also has a (100 - accuracy)% chance to break through the protection of protect and detect."
60,psybeam,psychic,65,100,20,special,"Inflicts regular damage. Has a 10% chance to confuse the target."
61,bubble-beam,water,65,100,20,special,"Inflicts regular damage. Has a 10% chance to lower the target's Speed by one stage."
62,aurora-beam,ice,65,100,20,special,"Inflicts regular damage. Has a 10% chance to lower the target's Attack by one stage."
63,hyper-beam,normal,150,90,5,special,"Inflicts regular damage. User loses its next turn to "recharge", and cannot attack or switch out during that turn."
64,peck,flying,35,100,35,physical,"Inflicts regular damage."
65,drill-peck,flying,80,100,20,physical,"Inflicts regular damage."
66,submission,fighting,80,80,20,physical,"Inflicts regular damage. User takes 1/4 the damage it inflicts in recoil."
67,low-kick,fighting,,100,20,physical,"Inflicts regular damage. Power increases with the target's weight in kilograms, to a maximum of 120. Target's weight | Power --------------- | ----: Up to 10kg | 20 Up to 25kg | 40 Up to 50kg | 60 Up to 100kg | 80 Up to 200kg | 100 Above 200kg | 120 "
